,STAT5A,STAT5B,STAT4,IRF1,STAT3,IRF2,STAT1,IRF8,STAT6,IRF4,IRF3,IRF5,STAT2,IRF7,IRF9,IRF6,unannotated_1
FASN,-0.001327141,7.229498e-05,0.00019395958,1.3475125e-06,-0.000658323,0.0,0.00010950578,0.0,-0.00016390665,-0.00010271941,1.0004636e-06,0.00064962456,4.7549506e-08,0.0,0.0,0.0,-0.0036606905
IL12RB2,2.2224436e-05,5.0999428e-05,0.005798988,0.0,0.0,0.0,-0.0002558559,-0.00047442177,0.0,0.00012006587,0.0,0.0,0.0,0.0,0.0,0.0,-0.0026785438
AKR1C1,1.6366468e-07,0.0013416226,-0.00013360314,0.0,0.0,4.319382e-05,5.317552e-05,0.0,0.0,0.00016656985,0.0,-1.06848134e-07,0.0,0.0,0.0,0.0,0.0032215738
IRS2,-1.30103435e-05,3.067426e-05,1.85574e-06,0.0,6.45232e-05,0.0,-3.9874426e-06,0.0,0.0019895607,0.0,1.0464455e-07,0.0,0.0,0.0,-0.00049844297,0.0,-0.0019746684
CCR4,0.0,8.190467e-07,0.00050904346,0.0,0.0,0.0,-0.0003614393,0.0,0.0036078915,0.0,0.0,0.0,-0.0002106108,-7.919049e-05,0.0,0.0,-0.0015518443
MICB,0.0,0.0,0.0,0.0,-1.7705664e-06,-8.9269866e-05,0.0,0.0,0.0,0.00041296458,1.0116088e-06,-5.29524e-07,0.0,0.0,0.0,-7.011309e-05,-0.0009056097
EGR1,8.6902185e-07,-5.2807143e-05,-0.00025411372,0.0001384063,-0.0008597759,-0.00067897944,0.0,0.0,0.0,-0.00022335906,0.0,-1.6258935e-05,1.153344e-06,0.0,-9.938694e-06,0.0005857707,-0.0014052894
STK35,0.0,0.0,0.0,0.0,0.0024041084,0.0,-0.00036786878,0.0,4.0882135e-08,-0.00051212905,5.1687466e-06,3.6869264e-05,-0.00030349294,0.0,-0.00013819634,-1.2559953e-05,0.0043575903
WWTR1,0.0,0.0,0.0,0.0,0.00012291006,-1.0658599e-05,-0.00069845666,0.0,0.0,0.0,0.00035181158,0.0,-0.00017758782,1.7808154e-06,0.0,-0.00045201377,0.0007714719
ANXA1,0.0,-4.132495e-05,-1.20779e-07,1.2923742e-05,0.13749798,3.806754e-05,0.0,9.195853e-06,0.0,5.4458665e-06,0.0,-1.7459579e-05,0.0,5.95417e-06,0.0,0.0,0.16820973
IGFBP2,-2.2058211e-06,0.00022660533,0.0,0.0,-0.0023925998,0.0,-8.4762355e-08,0.0,-0.00041221772,-2.9714138e-06,0.0,2.2172968e-05,0.0,0.00042483667,0.0,0.0,-0.0043055457
POLR2H,-4.2249694e-06,0.0,0.0,0.0,-0.008729173,0.0005618717,0.0,0.0,0.0,6.6861576e-06,2.45004e-06,0.0,0.0,0.0,0.0,-0.00040352362,-0.010032037
GPR146,5.175661e-05,0.0,0.0,6.376711e-06,0.0,0.00027511068,0.00062966486,-2.7240338e-05,0.0,0.0,-0.0009829914,0.0,7.977017e-06,0.0,0.0,0.0002858495,-0.00059386453
AIM2,0.0,0.0004503689,0.0,0.0,0.0,0.0,-0.017438589,0.0,7.6221215e-05,0.0,0.0,0.0,0.0,-0.00056403596,0.0,0.0,0.016260657
ATG4C,0.0,0.0,5.697245e-06,7.092741e-06,0.0,-0.0002565432,0.0013418732,0.0,-3.400638e-05,0.0,0.0,1.0547791e-05,0.0,-0.0005702151,-0.0002270797,0.0,-0.004601884
CREM,0.0,0.0,6.740861e-05,0.0,-0.00068270555,-0.00038081175,-0.037975747,0.00013292808,0.0,-0.00044984446,0.0,0.0,-0.00059620605,0.0,0.0,5.002015e-05,-0.07422648
DCLRE1C,2.6884974e-05,0.0,0.0,1.5084076e-05,2.2101598e-05,0.0,0.0024289938,-0.0006678784,0.00070157426,0.0,-3.8767013e-07,-0.00026617333,-1.1683982e-05,0.0,-0.00044993655,0.00031257208,0.0004431197
DDX50,0.0,0.0,0.0,-5.638062e-05,5.5238786e-07,-0.00032671716,-4.496472e-05,0.0,0.0,0.0,0.00030968146,0.0,0.0,2.1048718e-06,0.0,0.00059065106,-0.011037244
DIMT1,0.0,4.98144e-07,0.0,8.254041e-08,-1.7887609e-06,0.0,-0.0016524724,0.0,-1.3746578e-05,-0.00050896115,1.6431713e-05,0.0,-2.7283102e-06,7.360794e-06,0.00049185415,0.0,-0.008047643
GSTK1,2.4121798e-07,0.0,0.0,0.0,0.0,9.8228265e-05,-0.00691675,0.0,0.0,0.0,1.9365193e-06,-0.00047461764,-0.00016565312,-3.8321165e-08,0.0,0.0,-0.0058351164
INO80,0.0,-1.073066e-06,0.0,-5.3720123e-05,0.0,0.0,-0.00024076932,-9.987377e-07,0.0,0.00010974868,0.0,-2.7746797e-05,-0.0006669567,0.0,0.0,0.0,3.5030766e-06
KIF2A,0.0,0.0,0.0,0.0,1.0189933e-06,0.00053602865,0.00044853002,0.00010866452,1.9068782e-05,0.0,7.806909e-05,0.0,0.0,0.0,0.0,0.0,-0.01410214
MAN1A1,0.0,0.0,-8.154071e-06,0.0,-3.1841406e-05,2.8511498e-05,-0.00042201648,5.6001038e-05,0.0,0.0,0.0005762765,0.00044773798,8.748577e-05,0.0,0.0,0.0,0.0003271719
MED16,3.8754e-06,0.0,0.0,0.0,5.640288e-05,0.0,0.0018156264,0.0,0.0,0.0,0.00019849332,-0.00026741833,0.0001813464,9.816848e-06,0.00031433432,-2.867126e-07,-0.0026951036
MTMR9,0.00037804153,0.0,-0.00018346842,-0.00010901139,-8.366378e-05,-8.0875196e-07,0.0012130141,0.0,-0.0007042711,-0.00016906546,0.0,3.8383965e-05,0.0,0.0,0.0,0.00017273666,-0.0046694884
PPIP5K2,0.0,0.0,0.0,0.0,0.0,-0.00015046445,0.0012837885,-0.00017918636,0.0,0.0,0.00036454605,5.6345166e-06,-0.0002431914,0.0,-1.7228419e-07,0.00010843313,0.004305415
PWP2,-0.00046931495,0.0,-0.00028871634,0.0,-0.00041880546,9.508624e-06,0.00030247972,0.0007040704,0.0001881028,0.0,0.0,-9.3242284e-05,0.0001361825,0.0,4.8208854e-08,-1.0194386e-05,-0.0048651868
SEMA4B,3.6183235e-06,0.0,0.0,0.0,0.0,0.0,-0.0012938704,5.086457e-08,0.0,0.00044910322,0.00035012464,-1.4996532e-06,0.0,-3.7971029e-06,0.0,2.7097005e-05,0.0010732717
SNRNP27,2.644716e-05,0.0,0.0,0.0,0.0,0.0,-0.0033065279,0.0,-8.3593375e-05,0.0,0.0,0.0007180681,0.0,0.00024264395,0.0,0.0,-0.0017749539
UBR1,8.7497836e-05,-5.8312444e-06,0.0,0.0,0.0,-4.250947e-05,0.003723674,0.0,0.0,0.00010588455,-1.3525303e-06,-1.3252808e-05,0.00016255217,0.0,0.0004923833,0.0,-0.0015821779
ZC3HAV1,-0.0005822828,0.0,0.0,-7.367217e-07,0.0,0.0,-0.012721742,0.0,0.0,0.0,0.0,0.0,-0.00040345654,0.0,0.0,0.00016065469,0.004763487
ZNF181,0.0,0.0,0.00017605108,0.0,-5.721797e-07,0.0,0.0005834986,0.0,0.00019095492,0.0,-4.3952724e-07,0.0,0.00018999651,0.0,0.0,0.0,-0.004856794
ZNF230,3.376994e-05,0.0,0.0,6.8066277e-07,0.0,0.0,0.0036190792,0.0,0.0,4.2077672e-06,1.712095e-05,-2.6881971e-06,0.0,0.0,0.0,0.00010031088,-0.0052088844
ZNF302,9.495714e-05,-2.6767536e-06,6.3982525e-06,2.637313e-07,0.0,0.0,-0.0009938334,1.0584898e-05,0.0,-3.070117e-05,0.0,5.1012474e-05,0.0,0.0,0.0,0.0,-0.009138854
ZNF655,0.0,0.0,-0.00043216246,2.1320638e-08,0.0,0.0,0.003005601,0.0,-0.0005490693,2.8621603e-06,0.0,0.0,-0.00051528506,0.0003905378,0.0,-0.00012916028,-0.0016701536
