,STAT5A,STAT5B,STAT4,IRF1,STAT3,RUNX1,GTF2I,IRF2,STAT1,IRF8,STAT6,APEX1,IRF4,MYOD1,ARHGAP35,IRF3,IRF5,ALX4,STAT2,IRF7,KLF4,IRF9,AHRR,AEBP1,SOX2,THAP11,IRF6,ARID1A,ADNP2,APBB1,unannotated_1
HSP90AB1,0.0,0.0,0.0,0.0,0.0117866155,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.018681595,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.010044891
IL1B,0.0,0.0,0.0,0.009390442,0.017212067,0.0,0.0,0.001842527,0.016113129,0.0095755635,0.0,0.0,0.009448157,0.0,0.0,0.0,0.002400971,0.0,0.0,0.0,0.015851686,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.020486783
BLK,0.0,0.0,0.0,0.0,0.0,0.0017891455,0.0,0.0,0.0,0.0,0.0,0.0010378584,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0014473799
STAT5A,0.0006433296,0.0017390314,0.0,0.0,0.0007854649,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0015456313
IL7R,0.0023132202,0.0,0.0,0.0,0.0,0.021013247,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.023676874
JUNB,0.0,0.0,0.0,0.0,0.024335606,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.017446633
SLPI,0.00029837491,0.00052915467,0.0,0.0007109323,0.0004922754,0.0,0.0,0.0,0.0006449116,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0007271033
CDKN1C,0.0,0.0,0.0,0.0,0.0,0.00155485,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001010805,0.0,0.0,0.0,0.0,0.0,0.0,0.0017469837,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0023060895
CAMK4,0.0,0.0,0.0,0.0039330535,0.0,0.0,0.0,0.002393168,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0068717026
LGALS3,0.0,0.0,0.0,0.022279507,0.0,0.07360623,0.0,0.02420953,0.019291554,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08075359
IL6,0.001293305,0.0,0.0,0.0011155546,0.0009385575,0.0,0.0,0.000989531,0.00063130213,0.0,0.0,0.00094995496,0.0011303712,0.0,0.0,0.00061806984,0.0015383209,0.0,0.001367421,0.0,0.0008637608,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00072687765
STAT5B,0.0004900214,0.0015520147,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0009928218
MAFB,0.0,0.0,0.0,0.0,0.03473003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.020073414,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.033272233
STAT3,0.0013687132,0.0,0.0,0.0,0.003018248,0.0,0.0,0.0,0.0042449613,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0029825626
CD19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0008574375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0019365344
MYC,0.0012649634,0.0,0.0075627128,0.0,0.0068115857,0.0051079085,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0013335733,0.0,0.037232425,0.0,0.0,0.03524161,0.0,0.0,0.0,0.0,0.0060299826
FCER1G,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09479032,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14004566
CCL5,0.0,0.0,0.0,0.0050302343,0.010760604,0.0,0.0,0.02400611,0.0060978727,0.04862655,0.0,0.0,0.0,0.0,0.0,0.0026150418,0.00245508,0.0,0.0,0.002516169,0.0,0.0,0.0,0.0,0.0,0.0,0.087266326,0.0,0.0,0.0,0.011324758
FASLG,0.0,0.0,0.0,0.0018488925,0.0037028957,0.0,0.0,0.003980342,0.0036312588,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0030820018
MAPK8,0.0009706206,0.0,0.0,0.0009580298,0.0014699919,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00060024834,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0010329372
MYB,0.0,0.0,0.0,0.000707999,0.00082457816,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00096340873
BIRC3,0.0,0.0,0.0,0.0068591316,0.02082873,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004669458,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.022577658
CD86,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003491863,0.0,0.007358105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0054590595,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.024998343
CDKN2D,0.0,0.0,0.0,0.0,0.0025345297,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0015692327
SOCS1,0.0019982057,0.0,0.0,0.0111870365,0.018167565,0.0,0.0,0.0,0.03121445,0.0,0.016395988,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.016367486
MMP9,0.0,0.0,0.0,0.00147546,0.003403388,0.0,0.0,0.0,0.0036400412,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0024999664
