,STAT5A,STAT5B,STAT4,IRF1,STAT3,IRF2,STAT1,IRF8,STAT6,IRF4,IRF3,IRF5,STAT2,IRF7,IRF9,IRF6,unannotated_1
EIF5B,0.021264417,0.0,0.0,0.021264417,0.055847812,0.0,0.0,0.0,0.021264417,0.0,0.021264417,0.021264417,0.0,0.0,0.021264417,0.0,0.055325408
IDE,0.0,0.0,0.021264417,0.021264417,0.052309223,0.0,0.0,0.021264417,0.021264417,0.021264417,0.021264417,0.021264417,0.021264417,0.021264417,0.0,0.0,0.054407246
IL6ST,0.05639893,0.05846365,0.021264417,0.0,0.05381272,0.0,0.05428631,0.021264417,0.0,0.021264417,0.0,0.021264417,0.021264417,0.0,0.0,0.021264417,0.053768076
MBD1,0.021264417,0.021264417,0.0,0.021264417,0.053940386,0.021264417,0.0,0.0,0.021264417,0.0,0.0,0.0,0.0,0.0,0.021264417,0.0,0.053586293
PTGER4,0.0,0.0,0.0,0.0,0.055209078,0.0,0.021264417,0.0,0.021264417,0.0,0.0,0.021264417,0.0,0.021264417,0.021264417,0.021264417,0.05248087
RNF149,0.0,0.0,0.021264417,0.0,0.05445668,0.0,0.0,0.0,0.0,0.0,0.021264417,0.021264417,0.0,0.0,0.021264417,0.021264417,0.05342428
XBP1,0.021264417,0.021264417,0.0,0.0,0.053786546,0.0,0.021264417,0.0,0.0,0.0,0.021264417,0.021264417,0.021264417,0.021264417,0.021264417,0.021264417,0.05645863
CHORDC1,0.055591512,0.05870573,0.021264417,0.0,0.021264417,0.021264417,0.0,0.021264417,0.021264417,0.021264417,0.021264417,0.021264417,0.021264417,0.0,0.0,0.021264417,0.05437056
GLUL,0.05654983,0.058578033,0.0,0.021264417,0.021264417,0.0,0.021264417,0.021264417,0.0,0.0,0.0,0.021264417,0.0,0.021264417,0.0,0.0,0.058021497
GRK5,0.056064975,0.056706496,0.0,0.021264417,0.0,0.021264417,0.0,0.021264417,0.021264417,0.0,0.0,0.0,0.021264417,0.021264417,0.021264417,0.0,0.053579647
RGS16,0.055717368,0.056231868,0.021264417,0.0,0.0,0.0,0.0,0.0,0.021264417,0.021264417,0.0,0.0,0.0,0.021264417,0.0,0.021264417,0.05326439
SSR3,0.05682195,0.057598673,0.021264417,0.0,0.0,0.021264417,0.0,0.021264417,0.0,0.0,0.0,0.021264417,0.0,0.021264417,0.0,0.021264417,0.05569155
TXNRD3,0.054415233,0.05723598,0.0,0.0,0.0,0.0,0.0,0.021264417,0.021264417,0.021264417,0.0,0.0,0.0,0.021264417,0.021264417,0.0,0.05282383
IFI6,0.021264417,0.021264417,0.0,0.021264417,0.021264417,0.021264417,0.058515258,0.021264417,0.0,0.0,0.0,0.0,0.021264417,0.021264417,0.0,0.021264417,0.059027635
IFITM1,0.021264417,0.0,0.0,0.021264417,0.021264417,0.0,0.05489074,0.021264417,0.0,0.021264417,0.021264417,0.021264417,0.0,0.0,0.0,0.021264417,0.053257216
ISG20,0.0,0.021264417,0.0,0.021264417,0.0,0.021264417,0.06021881,0.021264417,0.021264417,0.021264417,0.0,0.021264417,0.021264417,0.0,0.0,0.021264417,0.06351497
GBP5,0.0,0.0,0.021264417,0.05467532,0.0,0.0,0.0,0.0,0.0,0.021264417,0.021264417,0.021264417,0.021264417,0.021264417,0.0,0.0,0.05680714
MAFB,0.021264417,0.021264417,0.0,0.021264417,0.05376198,0.021264417,0.0,0.021264417,0.021264417,0.0,0.021264417,0.021264417,0.0,0.021264417,0.0,0.0,0.05482357
PIM2,0.057962835,0.0,0.0,0.021264417,0.0,0.021264417,0.021264417,0.0,0.0,0.021264417,0.021264417,0.021264417,0.0,0.0,0.0,0.0,0.05401414
DNMT3A,0.05707512,0.0,0.021264417,0.0,0.0,0.0,0.0,0.021264417,0.021264417,0.021264417,0.0,0.021264417,0.021264417,0.021264417,0.0,0.0,0.05269637
HBB,0.056399893,0.0,0.021264417,0.021264417,0.021264417,0.0,0.0,0.0,0.021264417,0.021264417,0.0,0.021264417,0.0,0.0,0.0,0.021264417,0.05511854
HBA2,0.056348257,0.021264417,0.021264417,0.0,0.021264417,0.0,0.021264417,0.021264417,0.021264417,0.0,0.021264417,0.0,0.021264417,0.021264417,0.0,0.021264417,0.053128958
HSPA1A,0.021264417,0.0,0.021264417,0.0,0.058474384,0.0,0.0,0.021264417,0.0,0.021264417,0.0,0.021264417,0.021264417,0.021264417,0.0,0.021264417,0.05859217
HSPA1B,0.0,0.0,0.0,0.021264417,0.05456131,0.021264417,0.0,0.021264417,0.0,0.0,0.021264417,0.021264417,0.0,0.0,0.021264417,0.0,0.054211665
CASP3,0.0,0.0,0.021264417,0.0,0.05494166,0.0,0.054579847,0.021264417,0.021264417,0.0,0.021264417,0.021264417,0.0,0.021264417,0.021264417,0.0,0.053720064
FBXO32,0.021264417,0.0,0.021264417,0.021264417,0.053987186,0.0,0.0,0.021264417,0.0,0.021264417,0.0,0.0,0.0,0.0,0.0,0.0,0.05516369
TGFB2,0.021264417,0.021264417,0.021264417,0.021264417,0.0,0.021264417,0.021264417,0.055796154,0.0,0.0,0.0,0.0,0.0,0.0,0.021264417,0.021264417,0.05398161
CCL7,0.021264417,0.021264417,0.021264417,0.0,0.021264417,0.0,0.0,0.021264417,0.058199238,0.0,0.021264417,0.0,0.021264417,0.021264417,0.021264417,0.021264417,0.057578348
CCL13,0.021264417,0.021264417,0.021264417,0.0,0.021264417,0.021264417,0.0,0.0,0.055075187,0.021264417,0.0,0.021264417,0.021264417,0.021264417,0.021264417,0.0,0.052712392
IL19,0.0,0.021264417,0.0,0.021264417,0.021264417,0.0,0.021264417,0.021264417,0.05524519,0.021264417,0.021264417,0.021264417,0.021264417,0.0,0.021264417,0.0,0.05414785
CCL8,0.06335957,0.021264417,0.021264417,0.0,0.06111456,0.0,0.06096111,0.021264417,0.062065106,0.0,0.021264417,0.021264417,0.021264417,0.021264417,0.0,0.021264417,0.05993887
CASP9,0.0,0.0,0.0,0.05498282,0.0,0.0,0.0,0.0,0.021264417,0.0,0.021264417,0.021264417,0.021264417,0.021264417,0.021264417,0.021264417,0.05275314
C1R,0.0,0.021264417,0.0,0.05384606,0.0,0.0,0.0,0.0,0.0,0.0,0.021264417,0.021264417,0.0,0.021264417,0.0,0.0,0.054860525
CXCL1,0.0,0.0,0.021264417,0.0,0.021264417,0.021264417,0.0,0.0,0.021264417,0.0,0.054651875,0.0,0.021264417,0.0,0.0,0.0,0.055493426
PTPN22,0.0,0.021264417,0.0,0.021264417,0.021264417,0.021264417,0.021264417,0.0,0.0,0.0,0.021264417,0.05299758,0.021264417,0.021264417,0.0,0.021264417,0.052531403
CASP2,0.021264417,0.0,0.021264417,0.021264417,0.0,0.0,0.054008715,0.0,0.021264417,0.021264417,0.021264417,0.0,0.0,0.0,0.021264417,0.0,0.055519164
CD14,0.0,0.0,0.021264417,0.0,0.0,0.021264417,0.057441525,0.021264417,0.021264417,0.0,0.0,0.0,0.021264417,0.0,0.0,0.021264417,0.05474524
NCL,0.021264417,0.0,0.0,0.021264417,0.0,0.0,0.05495902,0.021264417,0.0,0.021264417,0.0,0.021264417,0.021264417,0.021264417,0.0,0.021264417,0.055527676
CH25H,0.0,0.0,0.021264417,0.0,0.021264417,0.021264417,0.0523328,0.0,0.0,0.021264417,0.021264417,0.0,0.0,0.021264417,0.021264417,0.0,0.053681225
APEX1,0.0,0.0,0.0,0.0,0.053450882,0.0,0.0,0.0,0.0,0.021264417,0.021264417,0.021264417,0.0,0.0,0.021264417,0.021264417,0.052935373
RALGDS,0.021264417,0.0,0.021264417,0.0,0.054020453,0.021264417,0.0,0.0,0.0,0.0,0.0,0.021264417,0.021264417,0.021264417,0.021264417,0.021264417,0.053011686
CST3,0.0,0.0,0.021264417,0.0,0.05922867,0.0,0.0,0.021264417,0.021264417,0.0,0.0,0.0,0.0,0.0,0.021264417,0.021264417,0.05799515
RORC,0.021264417,0.0,0.0,0.021264417,0.05269293,0.021264417,0.021264417,0.0,0.0,0.0,0.021264417,0.0,0.021264417,0.021264417,0.0,0.0,0.052995633
CD9,0.0,0.021264417,0.021264417,0.021264417,0.054886766,0.021264417,0.0,0.0,0.021264417,0.0,0.021264417,0.021264417,0.021264417,0.0,0.021264417,0.0,0.05366361
RGCC,0.021264417,0.0,0.021264417,0.0,0.05458181,0.021264417,0.0,0.021264417,0.021264417,0.021264417,0.021264417,0.0,0.021264417,0.0,0.021264417,0.0,0.055525623
ITGB2,0.021264417,0.0,0.021264417,0.0,0.053298794,0.021264417,0.021264417,0.0,0.0,0.021264417,0.021264417,0.021264417,0.021264417,0.0,0.0,0.0,0.054380942
ENO2,0.0,0.021264417,0.021264417,0.0,0.053899974,0.021264417,0.021264417,0.021264417,0.0,0.021264417,0.021264417,0.021264417,0.021264417,0.0,0.0,0.0,0.053435735
GABPA,0.0,0.0,0.0,0.021264417,0.0533041,0.0,0.0,0.021264417,0.021264417,0.021264417,0.0,0.021264417,0.0,0.0,0.021264417,0.021264417,0.054742515
