,STAT5A,STAT5B,STAT4,IRF1,STAT3,RUNX1,GTF2I,IRF2,STAT1,IRF8,STAT6,APEX1,IRF4,MYOD1,ARHGAP35,IRF3,IRF5,ALX4,STAT2,IRF7,KLF4,IRF9,AHRR,AEBP1,SOX2,THAP11,IRF6,ARID1A,ADNP2,APBB1,unannotated_1
HSP90AB1,0.0,0.0,0.0,0.0,0.008945838,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.011407601,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0072887344
IL1B,0.0,0.0,0.0,0.0015216675,0.0019237649,0.0,0.0,0.0008057595,0.0013194231,0.0016064378,0.0,0.0,0.0018180899,0.0,0.0,0.0,0.0022068892,0.0,0.0,0.0,0.001581608,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0019389368
BLK,0.0,0.0,0.0,0.0,0.0,0.0010790132,0.0,0.0,0.0,0.0,0.0,0.0013744165,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0006510284
STAT5A,0.0005780447,0.0013225023,0.0,0.0,0.0005052983,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0014018022
IL7R,0.0027854322,0.0,0.0,0.0,0.0,0.0035210615,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03004537
JUNB,0.0,0.0,0.0,0.0,0.0230128,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.017127663
SLPI,0.00024206277,0.0003317845,0.0,0.00055856345,0.00039796202,0.0,0.0,0.0,0.0004535827,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0005746386
CDKN1C,0.0,0.0,0.0,0.0,0.0,0.002973514,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0015889178,0.0,0.0,0.0,0.0,0.0,0.0,0.0027490845,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002595249
CAMK4,0.0,0.0,0.0,0.00083842676,0.0,0.0,0.0,0.0032236069,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0063750036
LGALS3,0.0,0.0,0.0,0.00929115,0.0,0.04473107,0.0,0.033574153,0.017498553,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.059535637
IL6,0.0012373887,0.0,0.0,0.0006717147,0.00088487554,0.0,0.0,0.0014583253,0.00076621183,0.0,0.0,0.000994658,0.0011595195,0.0,0.0,0.00108565,0.0009286066,0.0,0.0016481646,0.0,0.0012342014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0012463114
STAT5B,0.0007985128,0.0006959346,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00058201683
MAFB,0.0,0.0,0.0,0.0,0.04001041,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.018523753,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03711468
STAT3,0.0032140734,0.0,0.0,0.0,0.0014385445,0.0,0.0,0.0,0.0023694446,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0028587298
CD19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000855755,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001579861
MYC,0.0024487954,0.0,0.009527806,0.0,0.0060303095,0.011672619,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0106942635,0.0,0.020382905,0.0,0.0,0.03841147,0.0,0.0,0.0,0.0,0.010659385
