,STAT5A,STAT5B,STAT4,IRF1,STAT3,IRF2,STAT1,IRF8,STAT6,IRF4,IRF3,IRF5,STAT2,IRF7,IRF9,IRF6,unannotated_1
KIF2A,0.0,0.0,0.0,0.0,2.0379864e-06,0.0010720573,0.0018734297,0.00021732904,3.8137565e-05,0.0,0.00015613818,0.0,0.0,0.0,0.0,0.0,0.0036950978
MAN1A1,0.0,0.0,1.6308144e-05,0.0,6.368281e-05,5.7022993e-05,0.0026844873,0.000112002075,0.0,0.0,0.001152553,0.00089547597,0.00017497156,0.0,0.0,0.0,0.004476053
MED16,7.7508e-06,0.0,0.0,0.0,0.00011280576,0.0,0.008949863,0.0,0.0,0.0,0.00039698664,0.00053483667,0.00036269284,1.9633697e-05,0.00062866864,5.734252e-07,0.007654686
MTMR9,0.0007560831,0.0,0.00036693687,0.00021802279,0.00016732755,1.617504e-06,0.0050271875,0.0,0.001408542,0.00033813095,0.0,7.676793e-05,0.0,0.0,0.0,0.00034547332,0.0042620148
PPIP5K2,0.0,0.0,0.0,0.0,0.0,0.00030092886,0.0022318377,0.00035837275,0.0,0.0,0.0007290921,1.1269033e-05,0.0004863828,0.0,3.4456835e-07,0.00021686628,0.0036783386
PWP2,0.00093862985,0.0,0.0005774327,0.0,0.000837611,1.9017247e-05,0.0056346734,0.0014081405,0.00037620557,0.0,0.0,0.00018648458,0.000272365,0.0,9.641771e-08,2.0388772e-05,0.0035882895
SEMA4B,7.2366474e-06,0.0,0.0,0.0,0.0,0.0,0.0058047636,1.0172914e-07,0.0,0.0008982064,0.0007002492,2.9993062e-06,0.0,7.5942057e-06,0.0,5.4194006e-05,0.002856042
SNRNP27,5.2894316e-05,0.0,0.0,0.0,0.0,0.0,0.007491363,0.0,0.00016718674,0.0,0.0,0.0014361362,0.0,0.00048528792,0.0,0.0,0.0024663655
UBR1,0.00017499567,1.1662489e-05,0.0,0.0,0.0,8.5018946e-05,0.005245746,0.0,0.0,0.0002117691,2.7050608e-06,2.6505613e-05,0.00032510434,0.0,0.0009847666,0.0,0.0042509404
ZC3HAV1,0.0011645656,0.0,0.0,1.4734434e-06,0.0,0.0,0.0049680704,0.0,0.0,0.0,0.0,0.0,0.00080691307,0.0,0.0,0.00032130937,0.008266322
ZNF181,0.0,0.0,0.00035210216,0.0,1.1443594e-06,0.0,0.004121198,0.0,0.00038190986,0.0,8.790545e-07,0.0,0.00037999306,0.0,0.0,0.0,0.0027432495
ZNF230,6.753988e-05,0.0,0.0,1.3613256e-06,0.0,0.0,0.0035405094,0.0,0.0,8.4155345e-06,3.42419e-05,5.3763943e-06,0.0,0.0,0.0,0.00020062174,0.0045291767
ZNF302,0.00018991428,5.353507e-06,1.2796505e-05,5.274626e-07,0.0,0.0,0.007722527,2.1169797e-05,0.0,6.140234e-05,0.0,0.00010202495,0.0,0.0,0.0,0.0,0.003272492
ZNF655,0.0,0.0,0.00086432486,4.2641275e-08,0.0,0.0,0.009139641,0.0,0.0010981386,5.7243205e-06,0.0,0.0,0.0010305702,0.0007810756,0.0,0.00025832056,0.0049494295
