,STAT5A,STAT5B,STAT4,IRF1,STAT3,RUNX1,GTF2I,IRF2,STAT1,IRF8,STAT6,APEX1,IRF4,MYOD1,ARHGAP35,IRF3,IRF5,ALX4,STAT2,IRF7,KLF4,IRF9,AHRR,AEBP1,SOX2,THAP11,IRF6,ARID1A,ADNP2,APBB1,unannotated_1
HSP90AB1,0.0,0.0,0.0,0.0,0.009476676,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04226536,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008221809
IL1B,0.0,0.0,0.0,0.0012118018,0.014243063,0.0,0.0,0.017250989,0.013075805,0.027424011,0.0,0.0,0.028025957,0.0,0.0,0.0,0.011852921,0.0,0.0,0.0,0.021272987,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.017938549
BLK,0.0,0.0,0.0,0.0,0.0,0.002071026,0.0,0.0,0.0,0.0,0.0,0.0012792638,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0011853667
STAT5A,0.0011407951,0.0010714146,0.0,0.0,0.0019388982,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0016956312
IL7R,0.0031051629,0.0,0.0,0.0,0.0,0.022229021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0383615
JUNB,0.0,0.0,0.0,0.0,0.027565585,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.025418062
SLPI,0.0005367963,0.0006030291,0.0,0.0004343439,0.00047920586,0.0,0.0,0.0,0.00069303217,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0008341656
CDKN1C,0.0,0.0,0.0,0.0,0.0,0.0012509533,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0007112182,0.0,0.0,0.0,0.0,0.0,0.0,0.00040990848,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0015507467
CAMK4,0.0,0.0,0.0,0.006467926,0.0,0.0,0.0,0.0049472237,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008335688
LGALS3,0.0,0.0,0.0,0.025920765,0.0,0.07440595,0.0,0.08211863,0.08744518,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.083713174
IL6,0.00034909268,0.0,0.0,0.0012251268,0.0013539799,0.0,0.0,0.00062426634,0.0008526927,0.0,0.0,0.0006733435,0.0015860824,0.0,0.0,0.00060363184,0.0009922221,0.0,0.00054106204,0.0,0.001574344,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000829546
