,STAT5A,STAT5B,STAT4,IRF1,STAT3,RUNX1,GTF2I,IRF2,STAT1,IRF8,STAT6,APEX1,IRF4,MYOD1,ARHGAP35,IRF3,IRF5,ALX4,STAT2,IRF7,KLF4,IRF9,AHRR,AEBP1,SOX2,THAP11,IRF6,ARID1A,ADNP2,APBB1,unannotated_1
APEX1,0.0,0.0,0.0,0.0,0.0017013816,0.0,0.0,0.0,0.0,0.0,0.0,0.0016737457,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0017160941
HSP90AB1,0.0,0.0,0.0,0.0,0.00049714756,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05159246,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0017017729
IL1B,0.0,0.0,0.0,0.00010780587,-0.0008554438,0.0,0.0,0.0032457882,-0.0009689536,0.030156706,0.0,0.0,0.045170967,0.0,0.0,0.0,0.01717389,0.0,0.0,0.0,0.006050586,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.001226531
BLK,0.0,0.0,0.0,0.0,0.0,0.00026432253,0.0,0.0,0.0,0.0,0.0,-3.5259454e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00024088379
STAT5A,1.4957227e-05,0.00010148608,0.0,0.0,3.1603675e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00087292877
IL7R,-0.008468198,0.0,0.0,0.0,0.0,-0.0001786109,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01181301
JUNB,0.0,0.0,0.0,0.0,-0.0042906078,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0073310197
SLPI,-0.00014235619,-4.853477e-05,0.0,1.2445159e-05,-0.00032910114,0.0,0.0,0.0,-7.2241004e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001268263
CDKN1C,0.0,0.0,0.0,0.0,0.0,-0.00021779288,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.00034930394,0.0,0.0,0.0,0.0,0.0,0.0,-0.00013856664,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0009251108
CAMK4,0.0,0.0,0.0,-0.003162241,0.0,0.0,0.0,0.0008561843,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001535339
LGALS3,0.0,0.0,0.0,0.010549402,0.0,-0.0075180056,0.0,0.023486331,-0.0065734973,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.020252826
IL6,-0.00044310777,0.0,0.0,0.00026619202,-0.00013291083,0.0,0.0,-0.00016675789,-0.0003645236,0.0,0.0,-0.00017549956,0.00034707662,0.0,0.0,-2.3365292e-05,0.0004679448,0.0,0.0001969751,0.0,0.0013524351,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.00056732923
STAT5B,-0.0007666598,0.00026205732,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.988288e-05
MAFB,0.0,0.0,0.0,0.0,-0.0018531193,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009819794,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.008001982
STAT3,-0.0011577059,0.0,0.0,0.0,0.001040866,0.0,0.0,0.0,0.0010651331,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0005649413
CD19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-8.643097e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00071647624
MYC,-0.0018263428,0.0,0.001854546,0.0,0.0014976233,0.0017935844,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00387603,0.0,0.021789953,0.0,0.0,0.019416992,0.0,0.0,0.0,0.0,0.0016630448
FCER1G,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.035491984,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.03948925
CCL5,0.0,0.0,0.0,-0.003656211,0.0014283151,0.0,0.0,0.00067686604,0.0037913434,0.014661494,0.0,0.0,0.0,0.0,0.0,0.014400961,0.01726279,0.0,0.0,0.04581935,0.0,0.0,0.0,0.0,0.0,0.0,0.038749717,0.0,0.0,0.0,0.0045385323
FASLG,0.0,0.0,0.0,-0.00086745573,0.00023435938,0.0,0.0,0.0011304503,0.0008488985,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00056786335
MAPK8,-0.00022054967,0.0,0.0,0.0004294109,0.0002750182,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00046192357,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00038449152
MYB,0.0,0.0,0.0,-9.9746e-05,-9.078765e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0002797646
BIRC3,0.0,0.0,0.0,0.007359898,0.0055920053,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.022061229,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01056643
CD86,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0037409929,0.0,0.002343006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.870306e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.008556032
