,STAT5A,STAT5B,STAT4,IRF1,STAT3,RUNX1,GTF2I,IRF2,STAT1,IRF8,STAT6,APEX1,IRF4,MYOD1,ARHGAP35,IRF3,IRF5,ALX4,STAT2,IRF7,KLF4,IRF9,AHRR,AEBP1,SOX2,THAP11,IRF6,ARID1A,ADNP2,APBB1,unannotated_1
APEX1,0.0,0.0,0.0,0.0,-0.009757711,0.0,0.0,0.0,0.0,0.0,0.0,-0.0066344948,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.016335312
HSP90AB1,0.0,0.0,0.0,0.0,0.006574524,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008527991,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.014353397
IL1B,0.0,0.0,0.0,-0.00024317516,0.0014599303,0.0,0.0,-0.00021317582,0.0042652385,0.0023254575,0.0,0.0,0.000480406,0.0,0.0,0.0,0.0056941984,0.0,0.0,0.0,0.0019071584,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0008203114
BLK,0.0,0.0,0.0,0.0,0.0,-0.0024749741,0.0,0.0,0.0,0.0,0.0,0.00055175734,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.00087170675
STAT5A,-0.0027050318,-0.00214675,0.0,0.0,-0.0021372475,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0015427716
IL7R,-0.018876728,0.0,0.0,0.0,0.0,-0.018467652,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.044151805
JUNB,0.0,0.0,0.0,0.0,0.012447581,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.032938838
SLPI,0.0003539369,-0.0001696914,0.0,5.4872013e-05,-0.0014887681,0.0,0.0,0.0,0.0004418695,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0009665517
CDKN1C,0.0,0.0,0.0,0.0,0.0,0.0028218073,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0021253796,0.0,0.0,0.0,0.0,0.0,0.0,0.0002748579,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.22597e-05
CAMK4,0.0,0.0,0.0,-0.00792046,0.0,0.0,0.0,-0.0087163225,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.006647501
LGALS3,0.0,0.0,0.0,0.13444641,0.0,0.06690858,0.0,0.06408943,0.07453052,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13395897
IL6,-0.00018524798,0.0,0.0,0.0003590128,-0.0004328968,0.0,0.0,-0.00084340724,-0.0016151468,0.0,0.0,-0.0018411145,0.00071206864,0.0,0.0,0.00026270913,0.002263563,0.0,-0.0013360927,0.0,-0.0022671702,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0015007239
